Id;ValorContrato;Periodicidade;ClienteId;IsDeleted;CreatedAt;CreatedBy;UpdatedAt;UpdatedBy
715d53fd-2e3e-44dc-8f39-df9c2286f55d;800;5;c7fc6854-04c1-4ef1-93c1-7350b23120cc;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
09d765c7-d95c-4be5-b406-be0de7261d9b;560;5;99422442-91ed-473e-9646-7fa17a65c454;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
ffe00503-d38c-452d-944b-760752053465;6350;5;fd1c9b1d-adcf-4231-8017-d7aa00cd2a61;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
6f201ab0-ec20-462b-934a-7dc1658c706b;122;5;95b63182-5d60-41b6-8470-2f39ea139693;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
8f305baa-abb4-4192-91f5-e9137ef756cb;1656;5;7dc17d3c-f12d-48da-853d-43b141fe43cc;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
e14a714b-b8e5-48c0-ae79-7e591c66004e;517;5;b45ad3d2-5c86-4894-a3af-65c87ea7505d;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
406d2f29-5093-465c-b500-831731b902c3;460;5;1b835229-a5da-49e7-84db-964beb91690e;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
fa08ed19-0030-4f46-bb38-9efa9d28b01a;4105;5;9e72088a-7b15-4f6f-89da-9506b3393a69;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
4329424c-3f5d-49e3-a4f1-240be84f1276;1093.81;5;57ff01a2-8afe-41a4-a9e8-198a560a74fa;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
a352af4e-02e3-4af6-9826-81fe47a3e2f8;275;5;02112dea-8ca5-4e6b-bbd4-625c7f300a41;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
4cba54b3-1ea6-4eb4-94ba-656f071a5178;823.7;5;70aadd80-110e-4b94-a93c-5e5cb35b6700;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
68ab1e47-157d-434e-8820-0889d6791c49;1406;5;cd9bfae6-7e8e-45f9-ac77-3d47d374e2d4;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
76594e9e-2e3f-4e38-9019-84269a618da9;570.65;5;aea3db26-a6e2-4039-999e-b6d31b9e58e3;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
55ac5d00-7360-4e5c-ad85-7b8c567614eb;295;4;9553545b-b9c5-4bcd-9230-538412784107;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
686c0599-8e08-43ef-9b33-bb05b60b3786;1470;5;c2b290b6-b083-49d6-9d17-98f5a02e2c18;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
9f933603-3153-4a47-8168-512108249c3f;1160;5;d670a7c6-8d49-44c5-a228-5f5a082ecc36;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
a2585c75-3335-44f1-a2f5-53fd20fe8df6;840;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
8dc6f88a-532d-413d-93d0-2d75f78faf09;132;5;6a69bcbd-d8fb-479e-94c6-44a3ea9d65d2;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
3b3145fd-bcf7-4071-bc4c-c94e78ad009f;60;5;a2fda5ee-7559-4a00-900e-16fddd72fcb3;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
e8fe515d-552e-4933-b205-deae2a4e56db;1000;5;d42bc232-a6cb-419a-9637-13bf338b8200;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
fcca209f-0a16-4cfb-93c4-fbea7958f815;2370;5;59ebe596-b1fe-4133-a628-7c4c10f01ae2;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
4e3758ba-cc31-4f8b-8984-cea7d79c50ca;2899.35;5;280e377c-eaab-4ba9-9871-00de09b3c08b;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
471f166c-0c6a-44af-81ec-9cf2c8ae4b6d;450;5;ced0a703-d057-4e99-b31b-442ac8fe7db8;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
8a6a9815-a7bc-48d0-adf8-15080c65ded7;475;5;ced0a703-d057-4e99-b31b-442ac8fe7db8;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
40975d91-eea2-4299-b8fa-68cd27bb687d;4920;5;32eca651-d00f-473b-b20a-2128572697aa;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
b4a9734f-53c1-4f34-a2a0-02eab7b7be66;1500;0;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
438db33b-1813-4151-8149-3755c5991737;3949.55;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
cdd225ad-7acb-4a7d-ad0e-e26c442c214f;525;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
57bb749d-6097-4f65-b013-41591379085b;1780;5;ebf74e1d-a33c-468d-949f-9dda2c39a9a0;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
831277de-2e5b-44c5-8493-da6532559fc5;314;5;07cc817a-fc82-481e-a95b-948527f54bbb;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
84a30f9a-ceee-4c45-b7cb-b61b43c8f301;397.15;5;372c85d3-7a78-4dac-8094-b0e7a8266c4c;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
b084199f-7a71-4186-bb28-f025a8e5f4bf;184;5;e1451de4-70c2-4433-9142-3c2a9dce0c88;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
f0704bb4-e65c-4175-b3c7-b28b3df282d8;825;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
ee8ec970-a401-4087-83b9-b452c61b0010;558;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
d456fd56-8e88-44a9-9f7a-18bdc9f6a0e9;2555;5;d9324081-cea8-4579-a88f-ce9d9801f726;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
0c74b215-a30e-452c-8d23-769f8b09f805;160.9;5;8d3f1532-a9f9-4f86-9ab1-df19b0aa2ba2;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-04;8e445865-a24d-4543-a6c6-9443d048cdb9
26570c24-3dca-4e00-85ff-a7a2fd9025fb;2538;5;887f4033-7ab2-4851-99d2-c56a8714f50f;f;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9;2022-11-17 09:32:19.499951-03;8e445865-a24d-4543-a6c6-9443d048cdb9
